C1=CC(=C(C=C1Cl)Cl)Cl
CCC(C)(C(C(=O)O)O)O
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl
C(CCl)Cl
CC(CN)O
CC(C)C(C(C(=O)O)O)C(=O)O
C(C(=O)O)(C(=O)O)O
C(CCl)O
C(C=O)Cl
CC1(COC(=O)C1=O)C
C(CC(=O)O)C(=O)C(=O)O
CCC(C)C(=O)C(=O)O
CC(C)C(=O)C(=O)O
CCC(=O)C(=O)O
C1=C(C(=CC(=C1Cl)O)Cl)O
CC(C)CC(=O)C(=O)O
C1=CC(=C(C=C1Cl)O)Cl
C(CC(=O)C(=O)O)CC(=O)O
C1=CC(=C(C=C1C(=O)O)O)O
CC(C)C(CC(=O)O)(C(=O)O)O
C(C(C(=O)O)N)Cl
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N
C1=CC(=C(C(=C1)O)N)C(=O)O
C1=CC(=CN=C1)C#N
CC(CO)C(=O)O
C1=CC(=CC(=C1)O)C=O
C1=CC(=C(C(=C1)O)N)C(=O)CC(C(=O)O)N
C1=CC(=CC(=C1)O)CCC(=O)O
C(CC(=O)O)C(=O)CC(=O)O
C1=CC(=CC(=C1)O)CO
C(C(C(=O)O)N)OP(=O)(O)O
C1=CC(=CN=C1)CC(=O)O
C(CNC(=O)N)C(=O)O
C(CC(=O)O)CN
CC(C)CCC=O
CCCC=O
C1=CC(=CC=C1CO)O
C1=CC(=CC=C1C(=O)O)O
CCCCO
C(CC(=O)O)C(=O)CN
C(C(C(=O)O)NC(=O)N)C(=O)O
C(CO)O
C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N
CC=O
CC(=O)N
C
CC(C(=O)C)O
CC(=O)C
C1=NC2=NC=NC(=C2N1)N
C(CCC(=O)O)CC(=O)O
C1(C(=O)NC(=O)N1)NC(=O)N
CC(C(C(=O)O)N)O
C1=CC=C(C(=C1)C(=O)O)N
C(CC(C(=O)O)N)CN=C(N)N
C1=CC=CC=C1
C1=CC=C(C=C1)C=O
CC(C)C1=CC=C(C=C1)C=O
CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N
C1=CC=C(C=C1)CO
C1=CC=C(C(=C1)C(=O)O)O
C1=CC=C(C=C1)C(=O)O
C[N+](C)(C)CC(=O)[O-]
CC(=O)NC1C(C(C(OC1O)CO)OC2C(C(C(C(O2)CO)O)O)O)O
C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2
C1=CC=C(C=C1)C2=C(C(=CC=C2)O)O
C1=CC(=CC=C1[N+](=O)[O-])OP(=O)(O)OC2=CC=C(C=C2)[N+](=O)[O-]
CCCC(=O)O
C(CON=C(N)N)C(C(=O)O)N
C(=O)=O
CN(CCC(CC(=O)NC1C=CC(OC1C(=O)O)N2C=CC(=NC2=O)N)N)C(=N)N
C(=O)O
C1C(C(=O)NO1)N
C1=CC=C(C(=C1)O)O
C(C(=O)O)Cl
C1=CC(=C(C=C1O)Cl)O
C1=CC=C(C=C1)C=CCO
C(C(=O)O)C(CC(=O)O)(C(=O)O)O
C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl
C1=CC=C2C(=C1)C=CC(=O)O2
CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C
CC(C)C1=CC=C(C=C1)CO
C1=CC(=CC=C1C(C(=O)O)O)O
CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O
C(CP(=O)(O)O)N
CC1=CC=CC=C1O
C1=CC=C(C=C1)C(=O)NCC(=O)O
COC1=C(C=CC(=C1)C=C)O
CC1=CC(=CC=C1)O
C1=CC(=CC=C1C(=O)C(=O)O)O
C1=C(C=C(C=C1O)O)O
CCCCCCCC
CC1=CC(=O)OC2=C1C=CC(=C2)OC(=O)C
C1=C(C=C(C(=C1O)O)O)C(=O)O
C(#CC(=O)O)C(=O)O
CC(C)[N+](=O)[O-]
CCCCCCCC(=O)O
S
C(CCC(=O)O)CCC(=O)O
CC(=O)NC(CS)C(=O)O
C1=CC(=CC=C1N)O
C1CC(NC1)C2=CN=CC=C2
C1CC(=O)NC1C2=CN=CC=C2
C(CCC(=O)O)CC(CCS)S
C(CN)CN
CC(CC(=O)O)O
C(C(C(C(C(C(=O)O)O)O)O)O)OP(=O)(O)O
C1=CC(=CC(=C1)Cl)C(=O)O
CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C
C(C(C(C(C(CO)O)O)O)O)O
C1=CC(=CC(=C1)Cl)C(=O)NCC(=O)O
CCCCCCCC=O
COC1=CC=CC=C1O
C(CC(C(=O)O)N)CC(=O)O
CCC=O
CN(C)CC(=O)O
C1CC1(C(=O)O)N
C(C(C(=O)O)O)C(=O)O
C1=CC(=CC=C1C=O)[N+](=O)[O-]
C(C(=O)O)P(=O)(O)O
C1=CC(=C(C=C1CC(=O)O)O)O
CN1CCCC1C(=O)O
C(CC(=O)C(=O)O)CN=C(N)N
CSCCC(=O)O
C(CCC(=O)O)CCN
CN(CC(=O)O)C(=N)N
C(C(C=O)O)OP(=O)(O)O
C1=CC=C2C(=C1)C3=CC=CC=C3O2
